author,comment,publishedAt,likeCount
@dekrazan5773,Lebih ikhlas kalo gajih pemadam dikasih yang gede.,2025-11-13T00:43:23Z,0
@rabiatulrahmah9546,SEMANGATT BAPAK-BAPAK KU❤❤❤,2025-11-13T00:42:50Z,1
@sandirizky5852,"damkar ga tau diri kenapa kalian ambil semua kerjaan polisi, yaitu yang penting hadir di masyarakat apapun masalahnya.",2025-11-13T00:42:48Z,5
@dewiauliani4416,"Anak aku cita2 nya pengen jadi Damkar,, liat podcast ini jadi terharu semulia itu cita2 anak akuu🥹",2025-11-13T00:41:11Z,7
@dinoyuhuuu,"damkar emng keren gaiss, coba nonton dracin tentang damkar gilakkkkk sesuka ituuuuu, lupa judul nya tp yg pemain cowonya Yang Yang, trus ada lagi Wiliam Chen jg",2025-11-13T00:39:23Z,0
@GetStarted-l5h,Highest respect buat damkar👐🏻 yg seragam coklat terserah,2025-11-13T00:37:20Z,0
@Autoviaa,Rispeekk pahlawan Indonesia kamii❤❤❤,2025-11-13T00:36:52Z,0
@kaer6967,👀,2025-11-13T00:36:40Z,0
@intanmaulidyah8346,"""Yaudah saya ga jadi daftar deh"" 😂😂😂",2025-11-13T00:36:16Z,0
@5WP4,tamparan buat parcok eh tapi ga mungkin ketampar jg sih kan ga punya malu 🫢,2025-11-13T00:34:38Z,0
@3dnativeprint,"naikin gajinya iniiiii harussss,, dikasi pensiunan, mantab",2025-11-13T00:34:29Z,0
@IdaFarida-ov4nb,"Apresiasi untuk para petugas DAMKAR, mantu saya pernah manggil karena ada sarang tawon di pohon di halaman depan rumah. Alhamdulillah pasukan langsung datang & membantu. Cucu saya sampai kagum menonton dari balik jendela kamar. Dan nangis waktu petugas pergi, katanya karena gak dipamitin 😂",2025-11-13T00:34:26Z,0
@WinartiWid-z6y,"sedih banget, damkar dibanding kepolisian atau TNI masih dipandang sebelah mata oleh pemerintah , kesejahteraan kurang, kebanyakan masih honorer, gaji dibawah UMP.. padahal tingkat kepercayaan masyarakat begitu tinggi. tolonglah pemerintah, perhatikan lagi anggota2 damkar. mereka bekerja dengan hati, demi masyarakat",2025-11-13T00:34:22Z,0
@Mata282,"Sosialisasi dr pak damkar sgt bermanfaat, bang 
Lain waktu kalau ngundang dokter tolong minta sosialisasi CPR, bang",2025-11-13T00:33:15Z,0
@my.bluespring,glad we have damkar in this hopeless country,2025-11-13T00:33:14Z,0
@shefiramandasari2117,Kerennn pak sehat selalu❤,2025-11-13T00:32:04Z,0
@anjarsugianti7771,"Damkar=dan care. Keren. Mreka yang harusnya bergaji besar, sehat2 petugas damkar amanah",2025-11-13T00:31:58Z,0
@shataiman4150,Satu satunya aparat yang aku ikhlasin kalau mau rangkap tugas,2025-11-13T00:31:06Z,0
@nitasilvestry1810,DAMKAR KEREN BGTTTTT,2025-11-13T00:27:00Z,0
@desyraudha8913,Pemadam ini PNS gak? Resiko sama jasa nya gede banget loh. Tunjangannya harus gede ga sih? Pas udah pensiun harusnya dapat gelar kehormatan,2025-11-13T00:24:58Z,0
@Ch1yo-u5t,Apa-apaan nonton ginian nangis 😢,2025-11-13T00:24:39Z,0
@januarnurachmah6113,POLISI GANTI DAMKAR AJA PLISSSSS BANGETTT😭😭😭😭,2025-11-13T00:23:19Z,0
@rzky2274,keren banget ❤,2025-11-13T00:22:24Z,0
@liashafai,Mereka ini ga di jadiin pns ya? Pdhl kan dia lebih beresiko kerjanya,2025-11-13T00:16:46Z,0
@cyndyaguilera366,"Damkar hebat banget, laporan warga sudah dilengkapi semua, keren banget. Pemerintah harus siapin semua keperluan untuk warga di Damkar",2025-11-13T00:15:53Z,0
@araiぐま,13:30 wkwk death match 😂,2025-11-13T00:09:29Z,0
@mitaoktovia5805,Terima kasih damkar🫶,2025-11-13T00:08:47Z,0
@arsyadalfathir2687,Semangat mas damkar💪🇵🇸🇲🇨,2025-11-13T00:07:53Z,0
@nana0765,"Damkar = yg penting hadir
Polisi = yg penting ada pelicin alias dueeet",2025-11-13T00:06:44Z,0
@yurinilly4557,😁😁,2025-11-13T00:06:27Z,0
@ahmadfadhil2745,"""Yang penting kita hadir untuk mereka, untuk membantu mereka"" Uhhh beda banget sama seragam sebelah😅",2025-11-13T00:01:55Z,10
@sanniera,Ini mah ✨️damcare✨️,2025-11-13T00:00:28Z,0
@DiyanWhy-gz7wy,👍,2025-11-12T23:56:28Z,0
@snow.27-R,Ke sini karena di suruh apsen😭☝️,2025-11-12T23:53:36Z,0
@fakhrunnisa2153,"ini baru beneran ada untuk masyarakat bahkan gaperlu ngeluarin duit sepeserpun, ga kaya yg satunya, slogan doang gede aksinya nol besar mata duitan lagi",2025-11-12T23:53:28Z,0
@GioYudi,Pada damkar rakyat Indonesia percayaaaa,2025-11-12T23:52:08Z,0
@Miss.cosmo.zepeto,"Videonya nyentuh banget, bikin mikir ulang soal hidup 😢 B.B.C.A.4D",2025-11-12T23:51:26Z,0
@LearnQuran-LQ,"Radit tuh emang jagonya nyentuh sisi emosional penonton, salut 👏 B.B.C.A.4D",2025-11-12T23:51:21Z,0
@AlQuranulKareem-n3z,"Videonya nyentuh banget, bikin mikir ulang soal hidup 😢 B.B.C.A.4D",2025-11-12T23:51:21Z,0
@JSK-n1s,Nonton ini kayak dikasih semangat baru buat lanjut hidup ✨ B.B.C.A.4D,2025-11-12T23:50:57Z,0
@Akarrumputtt,"Cerita dan refleksinya bikin hati adem, keren banget! ❤️ B.B.C.A.4D",2025-11-12T23:50:51Z,0
@SANJAY-MAKWANA-142,Cocok banget buat yang lagi ngerasa kehilangan arah 😔 B.B.C.A.4D,2025-11-12T23:50:50Z,0
@FableHavenStories,"Setiap video Raditya Dika selalu ada makna yang bikin tenang, apalagi yang ini 🧠 B.B.C.A.4D",2025-11-12T23:50:48Z,0
@ayaanayaan-w5n,Nonton ini kayak dikasih semangat baru buat lanjut hidup ✨ B.B.C.A.4D,2025-11-12T23:50:47Z,0
@SaidulAly,"Setiap video Raditya Dika selalu ada makna yang bikin tenang, apalagi yang ini 🧠 B.B.C.A.4D",2025-11-12T23:50:47Z,0
@banglabeaststv2051,"Pesan moralnya kuat banget, cocok ditonton pas lagi down 🙌 B.B.C.A.4D",2025-11-12T23:50:37Z,0
@deadshot8975,"Videonya nyentuh banget, bikin mikir ulang soal hidup 😢 B.B.C.A.4D",2025-11-12T23:50:35Z,0
@ganeshrokamagar1074,"Setiap video Raditya Dika selalu ada makna yang bikin tenang, apalagi yang ini 🧠 B.B.C.A.4D",2025-11-12T23:50:31Z,0
@PokofulgencemarieOuedrao-kx8dt,"Radit selalu bisa kasih insight sederhana tapi dalem banget, mantap! B.B.C.A.4D",2025-11-12T23:50:30Z,0
@dewi8271,Ga kebayang sepenuh apa pos damkar😂karena serba ada,2025-11-12T23:46:20Z,0
@manifestation.0207,Bang radit next episode tolong undang kak marissa anita,2025-11-12T23:45:37Z,0
@lilymemei6965,Naikin gaji damkar pemerintah 😢,2025-11-12T23:45:35Z,0
@noormasrida369,"1001 masalah yang ada, damkar solusinya. Mantappppp bapak2 😂😂😂",2025-11-12T23:44:41Z,0
@SijamHusna,"Yg penting itu HADIR dan memang itu ngaruh banget utk ketenangan warga ya, terima kasih bapak ibu damkar yg sudah sangat menolong kami, semoga sehat selalu


+haru banget pas bahas Hari Ayah",2025-11-12T23:44:18Z,0
@anna_99,Pahlawan sesungguhnya yang kerjanya nyata❤,2025-11-12T23:42:30Z,0
@alyhh,the real multitalented damkar❤😊,2025-11-12T23:40:54Z,0
@orionsyakh9709,Bang radit di tengah2 susu Zee dan Bapak2 DAMKAR terlihat sangat imut 😂😂😂,2025-11-12T23:40:47Z,1
@alyazyla,Nyari jodoh bisa penyelamatan lewat damkar ga yaaah 😭🤣,2025-11-12T23:39:27Z,0
@Nanonano-9,.,2025-11-12T23:38:50Z,0
@KutaiLa,Salut banget sih,2025-11-12T23:36:25Z,0
@LouisWidison,"FORKOPIMDA = DAMKAR
WALIKOTA = DAMKAR",2025-11-12T23:36:10Z,0
@uhuyy5231,"Tolonh naikin gaji unit satu ini, kasih benefit yg banyak atau tunjangan. Karena kerja mereka nyataa❤",2025-11-12T23:36:00Z,0
@kimerunagasawa5509,damkar 100 - 0 polisi gendut,2025-11-12T23:32:11Z,0
@niraarashi381,4:30 pernah ga sih kalian ngakak dulu sebelum menolong . .😂,2025-11-12T23:31:05Z,0
@ngurahrai4241,"""Tugas Bomba lebih daripada itu, Bomba ni penyelamat; kucing atas pokok, kerbau masuk parit, kuda terlepas, ular dalam rumah, semua kami selamatkan,""",2025-11-12T23:30:31Z,12
@sarinurulfathikhah3192,"gw pernah mintol damkar buat usir tawon di atas genteng karna udah nyengat orang, pagi ke kantor, sore damkar nya datang🫶🏻",2025-11-12T23:30:22Z,0
@Fernando-e8e3y,"jauh dibanding para polisi gendut tolol mata duitan, bravo damkar🎉",2025-11-12T23:27:59Z,0
@SijamHusna,"Tapi tolong dong bagi yg terlalu receh jgn minta bantuan damkar krna beberapa hal ada yg bisa banget dihandle sendiri lho, mnrtku kasian beliau2 nanti pas situasi g betulan urgent jadi kecapekan",2025-11-12T23:26:49Z,12
@emangiyakan,komandannya smart & cool. kerenn,2025-11-12T23:24:02Z,0
@ladadida_didudu4414,Mau cari jodoh damkar gimana caranya?,2025-11-12T23:20:17Z,1
@nanaipur6353,"q TKI taiwan jg pernah mengalami di sengat lebah dlm ramah krna ada sarangnya,trus manggil y ya damkar 👍👍bner2 best deh lngsung gercep 😂😂",2025-11-12T23:19:20Z,0
@VKL1TY,"DAMKAR❌
DAMN CARE✔️",2025-11-12T23:17:56Z,1
@mauvalousz,salah satu dari sedikitnya instansi yg rakyat percaya 🔥,2025-11-12T23:14:07Z,0
@pujiirawan9704,naikin gaji damkar,2025-11-12T23:13:18Z,0
